ItemID,SalesDate,CostPrice, QtySales 
SKU_6478_111,9/1/2020,16.77," 2,847.20 "
SKU_6478_111,10/1/2020,16.77," 2,106.50 "
SKU_6478_111,11/1/2020,16.77," 1,319.00 "
SKU_6478_111,12/1/2020,16.77, 685.00 
SKU_6478_111,1/1/2021,16.77, 810.20 
SKU_6478_111,2/1/2021,16.77," 1,550.10 "
SKU_6478_111,3/1/2021,16.77," 1,455.00 "
SKU_6478_111,4/1/2021,16.77," 2,719.50 "
SKU_6478_111,5/1/2021,16.77, 981.50 
SKU_6478_111,6/1/2021,16.77, 856.00 
SKU_6478_111,7/1/2021,16.77, 795.00 
SKU_6478_111,8/1/2021,16.77," 1,961.00 "
SKU_6478_111,9/1/2021,16.77," 2,961.00 "
SKU_6478_111,10/1/2021,16.77," 2,243.00 "
SKU_6478_111,11/1/2021,16.77, 853.50 
SKU_6478_111,12/1/2021,16.77, 809.30 
SKU_6478_111,1/1/2022,16.77, 210.00 
SKU_6478_111,2/1/2022,16.77," 1,520.70 "
SKU_6478_111,3/1/2022,16.77, 872.25 
SKU_6478_111,4/1/2022,16.77, 362.00 
SKU_6478_111,5/1/2022,16.77, 347.50 
SKU_6478_111,6/1/2022,16.77, 456.00 
SKU_6478_111,7/1/2022,16.77, 713.00 
SKU_6478_111,8/1/2022,16.77, 962.80 
SKU_6478_111,9/1/2022,16.77, 826.00 
SKU_6478_111,10/1/2022,16.77," 1,031.00 "
SKU_6478_111,11/1/2022,16.77, 726.00 
SKU_6478_111,12/1/2022,16.77, 128.90 
SKU_6478_111,1/1/2023,16.77, 260.00 
SKU_6478_111,2/1/2023,16.77, 865.00 
SKU_6478_111,3/1/2023,16.77," 1,746.00 "
SKU_6478_111,4/1/2023,16.77," 1,380.00 "
SKU_6478_111,5/1/2023,16.77, 360.00 
SKU_6478_111,6/1/2023,16.77, 238.00 
SKU_6478_111,7/1/2023,16.77, 322.00 
SKU_6478_111,8/1/2023,16.77," 1,159.00 "
SKU_6478_111,9/1/2023,16.77, 548.00 
SKU_6478_111,10/1/2023,16.77," 1,887.00 "
SKU_6478_111,11/1/2023,16.77, 732.00 
SKU_6478_111,12/1/2023,16.77, 817.00 
SKU_6478_111,1/1/2024,16.77, 476.00 
SKU_6478_111,2/1/2024,16.77, 500.00 
SKU_6478_111,3/1/2024,16.77, 396.00 
SKU_6478_111,4/1/2024,16.77, 533.00 
SKU_6478_111,5/1/2024,16.77, 899.00 
